Operator,Size,Expsize,Carry4,LUT,MuxF7,IBUF,OBUF,Area
adder,8,0,2,141,0,16,8,167
multiplier,8,0,9,170,1,16,8,204
adder,8,1,2,159,0,16,8,185
multiplier,8,1,6,187,0,16,8,217
adder,8,2,2,193,0,16,8,219
multiplier,8,2,6,173,0,16,8,203
adder,8,3,2,174,0,16,8,201
multiplier,8,3,4,154,0,16,8,182
adder,16,0,8,430,0,32,16,491
multiplier,16,0,4,321,0,32,16,382
adder,16,1,10,457,0,32,16,523
multiplier,16,1,6,394,0,32,16,451
adder,16,2,10,500,2,32,16,569
multiplier,16,2,6,381,3,32,16,445
adder,16,3,11,494,2,32,16,560
multiplier,16,3,6,391,1,32,16,455
adder,32,0,18,1197,0,64,32,1318
multiplier,32,0,22,866,0,64,32,1000
adder,32,1,18,1092,0,64,32,1209
multiplier,32,1,21,811,0,64,32,948
adder,32,2,19,1110,4,64,32,1237
multiplier,32,2,21,914,0,64,32,1035
adder,32,3,19,1061,1,64,32,1185
multiplier,32,3,21,1056,0,64,32,1190
